Step	Training Loss	Validation Loss
200	5.701200	4.999391
200	5.701200	4.960804
200	5.701200	4.994357
200	5.701200	6.016301
400	4.412900	3.765609
400	4.412900	3.599032
400	4.412900	4.136456
400	4.412900	5.990736
600	3.064100	2.474549
600	3.064100	3.147077
600	3.064100	4.133989
600	3.064100	5.012846
800	2.391600	2.090410
800	2.391600	2.914807
800	2.391600	4.078745
800	2.391600	4.534021
1000	2.023400	1.732395
1000	2.023400	2.522063
1000	2.023400	3.963885
1000	2.023400	4.065682
1200	1.791600	1.530308
1200	1.791600	2.216316
1200	1.791600	3.535983
1200	1.791600	3.778833
1400	1.613200	1.461012
1400	1.613200	2.191376
1400	1.613200	3.646646
1400	1.613200	3.642150
1600	1.561400	1.357777
1600	1.561400	2.081221
1600	1.561400	3.490800
1600	1.561400	2.720265
1800	1.392500	1.341238
1800	1.392500	2.104539
1800	1.392500	3.567964
1800	1.392500	2.764352
2000	1.361300	1.256693
2000	1.361300	2.059663
2000	1.361300	3.658715
2000	1.361300	2.034656
2200	1.345600	1.218500
2200	1.345600	1.979270
2200	1.345600	3.585375
2200	1.345600	1.833656
2400	1.301400	1.257900
2400	1.301400	2.048748
2400	1.301400	3.673620
2400	1.301400	2.634667
2600	1.271600	1.183762
2600	1.271600	1.950864
2600	1.271600	3.473078
2600	1.271600	2.184966
2800	1.246400	1.178382
2800	1.246400	1.871392
2800	1.246400	3.436547
2800	1.246400	2.174941
3000	1.198200	1.144372
3000	1.198200	1.889075
3000	1.198200	3.492028
3000	1.198200	1.790144
3200	1.145200	1.127600
3200	1.145200	1.907697
3200	1.145200	3.445919
3200	1.145200	1.816921
3400	1.142100	1.128898
3400	1.142100	1.876666
3400	1.142100	3.302652
3400	1.142100	2.020229
3600	1.146100	1.106191
3600	1.146100	1.821424
3600	1.146100	3.083506
3600	1.146100	1.870096
3800	1.165200	1.121440
3800	1.165200	1.958474
3800	1.165200	3.514325
3800	1.165200	2.181196
4000	1.187900	1.094695
4000	1.187900	1.821221
4000	1.187900	3.184805
4000	1.187900	2.122715
4200	1.160500	1.097716
4200	1.160500	1.783098
4200	1.160500	3.209691
4200	1.160500	2.109874
4400	1.098600	1.078280
4400	1.098600	1.841739
4400	1.098600	3.259952
4400	1.098600	1.850201
4600	1.099400	1.079146
4600	1.099400	1.792801
4600	1.099400	3.165525
4600	1.099400	1.946583
4800	1.070500	1.064757
4800	1.070500	1.788048
4800	1.070500	3.143121
4800	1.070500	1.974521
5000	1.126400	1.049484
5000	1.126400	1.756251
5000	1.126400	3.144632
5000	1.126400	1.944404
5200	1.106300	1.062737
5200	1.106300	1.818146
5200	1.106300	3.186740
5200	1.106300	2.064575
5400	1.071900	1.047592
5400	1.071900	1.825209
5400	1.071900	3.195958
5400	1.071900	1.944853
5600	1.004100	1.072671
5600	1.004100	1.851452
5600	1.004100	3.403010
5600	1.004100	2.037622
5800	0.854000	1.073345
5800	0.854000	1.888091
5800	0.854000	3.458508
5800	0.854000	1.866002
6000	0.886300	1.061925
6000	0.886300	1.834656
6000	0.886300	3.332546
6000	0.886300	1.940716
6200	0.803200	1.084955
6200	0.803200	1.907868
6200	0.803200	3.546298
6200	0.803200	2.039778
6400	0.872400	1.064986
6400	0.872400	1.805547
6400	0.872400	3.406089
6400	0.872400	1.874612
6600	0.847900	1.084836
6600	0.847900	1.869644
6600	0.847900	3.425610
6600	0.847900	2.008158
6800	0.840500	1.054947
6800	0.840500	1.819019
6800	0.840500	3.278580
6800	0.840500	1.965572
7000	0.855100	1.052791
7000	0.855100	1.897307
7000	0.855100	3.457644
7000	0.855100	1.892637
7200	0.877500	1.075203
7200	0.877500	1.893211
7200	0.877500	3.542175
7200	0.877500	2.111984
7400	0.847900	1.060861
7400	0.847900	1.827945
7400	0.847900	3.345272
7400	0.847900	1.973056