dataset,model,exact_match,em_diff_from_base,f1,f1_diff_from_base,em_diff,f1_diff
AdversarialQA,squad_base,19.233333,-0.633333,30.232718,-1.066529,0,0
AdversarialQA,squad_supersampled_all,18.611111,-1.255556,30.157232,-1.142016,-0.622222,-0.075486
AdversarialQA,squad_supersampled_ans_cos,18.466667,-1.4,30.079666,-1.219581,-0.766666,-0.153052
AdversarialQA,squad_supersampled_ans_sub_pos_1,16.65,-3.216667,27.617018,-3.682229,-2.583333,-2.6157
AdversarialQA,squad_supersampled_answer_length_3,16.816667,-3.05,29.22946,-2.069787,-2.416666,-1.003258
AdversarialQA,squad_supersampled_cosine_similarity_01,18.383333,-1.483333,29.615994,-1.683253,-0.85,-0.616724
AdversarialQA,squad_supersampled_dist_ans,18.533333,-1.333333,30.473379,-0.825868,-0.7,0.240661
AdversarialQA,squad_supersampled_dist_cos,18.616667,-1.25,29.471279,-1.827968,-0.616666,-0.761439
AdversarialQA,squad_supersampled_distances_7,18.533333,-1.333333,30.208991,-1.090256,-0.7,-0.023727
AdversarialQA,squad_supersampled_similar_entities_0,19.5,-0.366667,30.679748,-0.619499,0.266667,0.44703
AdversarialQA,squad_supersampled_similar_words_4,18.433333,-1.433333,30.011754,-1.287493,-0.8,-0.220964
AdversarialQA,squad_supersampled_top_3,18.216667,-1.65,30.073046,-1.226201,-1.016666,-0.159672
NaturalQuestions,squad_base,54.654782,-1.075269,67.073477,-0.747107,0,0
NaturalQuestions,squad_supersampled_all,55.263158,-0.466893,67.694028,-0.126556,0.608376,0.620551
NaturalQuestions,squad_supersampled_ans_cos,51.273345,-4.456706,65.060227,-2.760357,-3.381437,-2.01325
NaturalQuestions,squad_supersampled_ans_sub_pos_1,54.350594,-1.379457,67.047607,-0.772977,-0.304188,-0.02587
NaturalQuestions,squad_supersampled_answer_length_3,49.193548,-6.536503,63.227885,-4.592699,-5.461234,-3.845592
NaturalQuestions,squad_supersampled_cosine_similarity_01,56.345501,0.61545,67.878768,0.058184,1.690719,0.805291
NaturalQuestions,squad_supersampled_dist_ans,55.517827,-0.212224,67.800334,-0.020251,0.863045,0.726857
NaturalQuestions,squad_supersampled_dist_cos,55.921053,0.191002,68.164263,0.343679,1.266271,1.090786
NaturalQuestions,squad_supersampled_distances_7,57.809847,2.079796,69.86764,2.047055,3.155065,2.794163
NaturalQuestions,squad_supersampled_similar_entities_0,56.663837,0.933786,68.621623,0.801039,2.009055,1.548146
NaturalQuestions,squad_supersampled_similar_words_4,55.263158,-0.466893,68.112008,0.291424,0.608376,1.038531
NaturalQuestions,squad_supersampled_top_3,54.350594,-1.379457,66.957629,-0.862955,-0.304188,-0.115848
SQuAD,squad_base,79.549038,-0.649637,87.231993,-0.343731,0,0
SQuAD,squad_supersampled_all,78.587196,-1.611479,86.800346,-0.775379,-0.961842,-0.431647
SQuAD,squad_supersampled_ans_cos,78.637654,-1.561022,86.929986,-0.645738,-0.911384,-0.302007
SQuAD,squad_supersampled_ans_sub_pos_1,77.157048,-3.041627,85.569678,-2.006046,-2.39199,-1.662315
SQuAD,squad_supersampled_answer_length_3,77.56859,-2.630085,86.536158,-1.039566,-1.980448,-0.695835
SQuAD,squad_supersampled_cosine_similarity_01,78.656575,-1.5421,86.699526,-0.876198,-0.892463,-0.532467
SQuAD,squad_supersampled_dist_ans,78.58562,-1.613056,86.747319,-0.828406,-0.963418,-0.484674
SQuAD,squad_supersampled_dist_cos,77.69158,-2.507096,86.031092,-1.544632,-1.857458,-1.200901
SQuAD,squad_supersampled_distances_7,78.249763,-1.948912,86.429686,-1.146039,-1.299275,-0.802307
SQuAD,squad_supersampled_similar_entities_0,79.735099,-0.463576,87.451405,-0.124319,0.186061,0.219412
SQuAD,squad_supersampled_similar_words_4,78.921476,-1.2772,86.893866,-0.681858,-0.627562,-0.338127
SQuAD,squad_supersampled_top_3,77.771996,-2.426679,86.191782,-1.383942,-1.777042,-1.040211
TriviaQA,squad_base,37.251313,-0.328758,46.557666,-0.324185,0,0
TriviaQA,squad_supersampled_all,35.692256,-1.887816,45.229948,-1.651903,-1.559057,-1.327718
TriviaQA,squad_supersampled_ans_cos,36.354855,-1.225216,46.151829,-0.730021,-0.896458,-0.405837
TriviaQA,squad_supersampled_ans_sub_pos_1,34.667006,-2.913066,44.078295,-2.803556,-2.584307,-2.479371
TriviaQA,squad_supersampled_answer_length_3,34.58058,-2.999492,44.587777,-2.294074,-2.670733,-1.969889
TriviaQA,squad_supersampled_cosine_similarity_01,35.175394,-2.404677,44.597721,-2.28413,-2.075919,-1.959945
TriviaQA,squad_supersampled_dist_ans,36.359939,-1.220132,46.214133,-0.667718,-0.891374,-0.343533
TriviaQA,squad_supersampled_dist_cos,36.507372,-1.0727,46.222665,-0.659185,-0.743941,-0.335001
TriviaQA,squad_supersampled_distances_7,36.227758,-1.352313,45.927386,-0.954465,-1.023555,-0.63028
TriviaQA,squad_supersampled_similar_entities_0,36.664972,-0.915099,45.97963,-0.902221,-0.586341,-0.578036
TriviaQA,squad_supersampled_similar_words_4,37.752923,0.172852,47.612399,0.730548,0.50161,1.054733
TriviaQA,squad_supersampled_top_3,36.3091,-1.270971,45.979829,-0.902022,-0.942213,-0.577837