Step,Training Loss,Validation Loss
500,2.548800,1.574859
1000,1.527900,1.327704
1500,1.400900,1.224292
2000,1.270400,1.197524
2500,1.241700,1.135472
3000,1.165400,1.103576
3500,1.095100,1.116866
4000,1.147600,1.063900
4500,1.107300,1.042311
5000,1.063500,1.023169
5500,1.071900,1.028910
6000,0.841800,1.074116
6500,0.804200,1.044357
7000,0.804600,1.060666
7500,0.818400,1.042997
8000,0.836900,1.022583
8500,0.792300,1.051589
9000,0.819000,1.061775
9500,0.780700,1.023053
10000,0.823400,1.036356
10500,0.782000,1.019839
11000,0.782900,1.023556
11500,0.616000,1.074237
12000,0.606200,1.107854
12500,0.597600,1.083788
13000,0.597900,1.100302
13500,0.598300,1.076219
14000,0.613800,1.088866
14500,0.589400,1.098791